title,average Rating,num Votes
Aerials,1.5,328
Justin Bieber: Never Say Never,1.6,75891
5Gang,1.8,2587
Kyaa Kool Hain Hum 3,1.9,4217
B.A. Pass 2,2.1,439
Karzzzz,2.1,1259
Deewana Main Deewana,2.2,352
Romina,2.2,2136
30 Days of Luxury,2.4,29
Enter the Anime,2.5,1548
Alien Warfare,2.6,3202
Dark Forces,2.6,507
The App,2.6,1240
Bir Baba Hindu,2.7,2424
Kolaiyuthir Kaalam,2.7,353
Beiimaan Love,2.8,462
Deadcon,2.8,1147
Kajraare,2.8,414
Rogue Warfare,2.8,1260
Veerey Ki Wedding,2.8,520
ViR: The Robot Boy,2.8,63
Agyaat,2.9,644
China Salesman,2.9,1394
Hisss,2.9,1722
Norm of the North: Family Vacation,2.9,208
Steam Team to the Rescue,3,21
A Scandall,3.1,147
An Imperfect Murder,3.1,1298
An Upper Egyptian,3.1,227
How High 2,3.1,936
Sniper: Special Ops,3.1,2801
Splatter,3.1,523
A Haunting at Silver Falls: The Return,3.2,276
Demon's Path,3.2,57
Nasha,3.2,1238
Word Party Songs,3.2,15
1st Summoning,3.3,877
An Unremarkable Christmas,3.3,109
Asura Guru,3.3,279
Hard Kill,3.3,11005
Nothing to Lose 2,3.3,624
Dumb and Dumberer: When Harry Met Lloyd,3.4,38394
George of the Jungle 2,3.4,6793
I Am Vengeance: Retaliation,3.4,2447
Karkar,3.4,361
What Is Love?,3.4,8
Barrio Universitario,3.5,338
Bulletproof 2,3.5,536
Kaali Khuhi,3.5,1077
My Sleeping Lover,3.5,355
Pretty Little Stalker,3.5,578
Staged Killer,3.5,268
Train of the Dead,3.5,363
Deviant Love,3.6,389
Frat Star,3.6,606
Internet Famous,3.6,1154
Jai Mummy Di,3.6,849
Judwaa 2,3.6,9850
Natural Born Pranksters,3.6,3686
Salem: His Sister's Father,3.6,93
The Hatred,3.6,2149
The Wrong Babysitter,3.6,306
Doom: Annihilation,3.7,8508
Husbands in Goa,3.7,259
Leyla Everlasting,3.7,7106
Robin Hood: The Rebellion,3.7,3922
The Flintstones in Viva Rock Vegas,3.7,22638
The Women Who Kill Lions,3.7,184
Ugly Aur Pagli,3.7,724
Yaar Gaddar,3.7,126
Yeh Hai Bakrapur,3.7,288
2307: Winter's Dream,3.8,1580
Bhaag Beanie Bhaag,3.8,3948
Chal Bhaag,3.8,105
Phamous,3.8,296
Ragini MMS 2,3.8,2794
Santana,3.8,881
Spookley and the Christmas Kittens,3.8,68
Tatu,3.8,20
The 2nd,3.8,7135
The Ghost and the Tout,3.8,19
The Love Guru,3.8,51472
Women of Mafia 2,3.8,970
"¡Ay, mi madre!",3.9,350
Absurd Planet,3.9,1358
Alien Contact: Outer Space,3.9,427
Colkatay Columbus,3.9,136
Drunk Parents,3.9,6723
Good and Prosperous,3.9,152
Haunting on Fraternity Row,3.9,990
Inst@famous,3.9,24
Kaviyude Osyath,3.9,8
My Dear Warrior,3.9,16
Satria Heroes: Revenge of the Darkness,3.9,58
Tezz,3.9,2312
The Haunting of Molly Hartley,3.9,9614
The Intent 2: The Come Up,3.9,424
48 Christmas Wishes,4,970
Discovering Bigfoot,4,624
Puppy Star Christmas,4,221
Shark Night,4,25360
The Last Airbender,4,156998
Zokkomon,4,370
Because We're Heading Out,4.1,178
Benchwarmers 2: Breaking Balls,4.1,823
Bittoo Boss,4.1,380
Emogenius,4.1,70
Fall Girls,4.1,224
Goosebumps 2: Haunted Halloween,4.1,9
Hedgehogs,4.1,287
Made in Mexico,4.1,741
Mean Girls 2,4.1,22265
Million Dollar Beach House,4.1,676
My Hotter Half,4.1,212
"Sí, Mi Amor",4.1,141
Sei,4.1,61
Teen Patti,4.1,1490
The Amazing Praybeyt Benjamin,4.1,185
The Darkest Dawn,4.1,2086
Warda,4.1,412
Action Replayy,4.2,5916
Burned Cocoon,4.2,173
Die Ontwaking,4.2,149
Drink Drank Drunk,4.2,20
EMI: Liya Hai To Chukana Padega,4.2,589
